Municipality Name,County, Total,,,,,,,,,,,,,,,
Phillipsburg town,Warren,86202466,,,,,,,,,,,,,,,
Pine Beach borough,Ocean,10140628,,,,,,,,,,,,,,,
Pine Hill borough,Camden,55503360,,,,,,,,,,,,,,,
Pine Valley borough,Camden,1516940,,,,,,,,,,,,,,,
Piscataway township,Middlesex,619880498,,,,,,,,,,,,,,,
Pitman borough,Gloucester,58655135,,,,,,,,,,,,,,,
Plainfield city,Union,241843260,,,,,,,,,,,,,,,
Plainsboro township,Middlesex,272979493,,,,,,,,,,,,,,,
Plumsted township,Ocean,78631074,,,,,,,,,,,,,,,
Pohatcong township,Warren,33016298,,,,,,,,,,,,,,,
Point Pleasant Beach borough,Ocean,49504163,,,,,,,,,,,,,,,
Point Pleasant borough,Ocean,112095047,,,,,,,,,,,,,,,
Pompton Lakes borough,Passaic,80845782,,,,,,,,,,,,,,,
Portland,Cumberland, 112095047,,,,,,,,,,,,,,,
Princeton,Mercer,283315920,,,,,,,,,,,,,,,
Prospect Park borough,Passaic,19990939,,,,,,,,,,,,,,,
Rahway city,Union,198615391,,,,,,,,,,,,,,,
Ramsey borough,Bergen,192818353,,,,,,,,,,,,,,,
Randolph township,Morris,242198895,,,,,,,,,,,,,,,
Raritan borough,Hunterdon,122517138,,,,,,,,,,,,,,,
Raritan township,Somerset,208889873,,,,,,,,,,,,,,,
Readington township,Hunterdon,131797473,,,,,,,,,,,,,,,
Red Bank borough,Monmouth,161606393,,,,,,,,,,,,,,,
Ridgefield borough,Bergen,90409589,,,,,,,,,,,,,,,
Ridgefield Park village,Bergen,83493840,,,,,,,,,,,,,,,
Ridgewood village,Bergen,192126184,,,,,,,,,,,,,,,
Ringwood borough,Passaic,86353494,,,,,,,,,,,,,,,
River Edge borough,Bergen,66382431,,,,,,,,,,,,,,,
River Vale township,Bergen,61248509,,,,,,,,,,,,,,,
Riverdale borough,Morris,64994515,,,,,,,,,,,,,,,
Riverside township,Burlington,36658775,,,,,,,,,,,,,,,
Riverton borough,Burlington,15536225,,,,,,,,,,,,,,,
Robbinsville township,Mercer,139148950,,,,,,,,,,,,,,,
Rochelle Park township,Bergen,69826051,,,,,,,,,,,,,,,
Rockaway borough,Morris,112405762,,,,,,,,,,,,,,,
Rockaway township,Morris,270413057,,,,,,,,,,,,,,,
Rockleigh borough,Bergen,14154710,,,,,,,,,,,,,,,
Rocky Hill borough,Somerset,7710002,,,,,,,,,,,,,,,
Roosevelt borough,Monmouth,9276567,,,,,,,,,,,,,,,
Roseland borough,Essex,100432947,,,,,,,,,,,,,,,
Roselle borough,Union,98298754,,,,,,,,,,,,,,,
Roselle Park borough,Union,58019977,,,,,,,,,,,,,,,
Roxbury township,Morris,265055306,,,,,,,,,,,,,,,
Rumson borough,Monmouth,35030287,,,,,,,,,,,,,,,
Runnemede borough,Camden,61644850,,,,,,,,,,,,,,,
Rutherford borough,Bergen,118570853,,,,,,,,,,,,,,,
Saddle Brook township,Bergen,135660895,,,,,,,,,,,,,,,
Saddle River borough,Bergen,60760033,,,,,,,,,,,,,,,
Sandyston township,Sussex,16167433,,,,,,,,,,,,,,,
Sayreville borough,Middlesex,316497099,,,,,,,,,,,,,,,
